period_window,day,co_max8h
current_MarJun2025,2025-06-01,1.271875
current_MarJun2025,2025-06-02,1.2725
current_MarJun2025,2025-06-03,1.19625
current_MarJun2025,2025-06-04,1.1949999999999998
current_MarJun2025,2025-06-05,1.118125
current_MarJun2025,2025-06-06,1.0868749999999998
current_MarJun2025,2025-06-07,1.296875
current_MarJun2025,2025-06-08,1.225
current_MarJun2025,2025-06-09,1.20875
current_MarJun2025,2025-06-10,1.4387500000000002
current_MarJun2025,2025-06-11,1.3912499999999999
current_MarJun2025,2025-06-12,1.5843749999999999
current_MarJun2025,2025-06-13,1.56875
current_MarJun2025,2025-06-14,1.329375
current_MarJun2025,2025-06-15,1.2537500000000001
current_MarJun2025,2025-06-16,1.2987499999999998
current_MarJun2025,2025-06-17,1.40875
current_MarJun2025,2025-06-18,1.4612500000000002
current_MarJun2025,2025-06-19,1.3275000000000001
current_MarJun2025,2025-06-20,1.37625
current_MarJun2025,2025-06-21,1.3425
current_MarJun2025,2025-06-22,1.2650000000000001
current_MarJun2025,2025-06-23,1.23875
current_MarJun2025,2025-06-24,1.2850000000000001
current_MarJun2025,2025-06-25,0.8962499999999999
current_MarJun2025,2025-06-26,0.93375
current_MarJun2025,2025-06-27,0.911875
current_MarJun2025,2025-06-28,0.8775000000000001
current_MarJun2025,2025-06-29,0.7612499999999999
current_MarJun2025,2025-06-30,0.76125
pandemic_MarJun2020,2020-03-01,2.0149999999999997
pandemic_MarJun2020,2020-03-02,2.14375
pandemic_MarJun2020,2020-03-03,2.395625
pandemic_MarJun2020,2020-03-04,2.0675
pandemic_MarJun2020,2020-03-05,1.8924999999999998
pandemic_MarJun2020,2020-03-06,1.8662500000000002
pandemic_MarJun2020,2020-03-07,1.825625
pandemic_MarJun2020,2020-03-08,1.905
pandemic_MarJun2020,2020-03-09,2.085
pandemic_MarJun2020,2020-03-10,2.3881249999999996
pandemic_MarJun2020,2020-03-11,2.190625
pandemic_MarJun2020,2020-03-12,2.676875
pandemic_MarJun2020,2020-03-13,2.455625
pandemic_MarJun2020,2020-03-14,2.126875
pandemic_MarJun2020,2020-03-15,1.9987499999999998
pandemic_MarJun2020,2020-03-16,2.073125
pandemic_MarJun2020,2020-03-17,2.260625
pandemic_MarJun2020,2020-03-18,2.1275
pandemic_MarJun2020,2020-03-19,2.3775
pandemic_MarJun2020,2020-03-20,2.20375
pandemic_MarJun2020,2020-03-21,2.276875
pandemic_MarJun2020,2020-03-22,2.318125
pandemic_MarJun2020,2020-03-23,2.546875
pandemic_MarJun2020,2020-03-24,2.595
pandemic_MarJun2020,2020-03-25,2.38
pandemic_MarJun2020,2020-03-26,2.401875
pandemic_MarJun2020,2020-03-27,2.461875
pandemic_MarJun2020,2020-03-28,2.255
pandemic_MarJun2020,2020-03-29,2.11625
pandemic_MarJun2020,2020-03-30,2.530625
pandemic_MarJun2020,2020-03-31,2.5545833333333334
pandemic_MarJun2020,2020-04-01,2.708125
pandemic_MarJun2020,2020-04-02,1.955
pandemic_MarJun2020,2020-04-03,1.6025
pandemic_MarJun2020,2020-04-04,1.1906249999999998
pandemic_MarJun2020,2020-04-05,0.8943749999999999
pandemic_MarJun2020,2020-04-06,1.276875
pandemic_MarJun2020,2020-04-07,1.8649999999999998
pandemic_MarJun2020,2020-04-08,2.27875
pandemic_MarJun2020,2020-04-09,2.39125
pandemic_MarJun2020,2020-04-10,2.031875
pandemic_MarJun2020,2020-04-11,0.7875000000000001
pandemic_MarJun2020,2020-04-12,0.8162499999999999
pandemic_MarJun2020,2020-04-13,0.7462500000000001
pandemic_MarJun2020,2020-04-14,0.591875
pandemic_MarJun2020,2020-04-15,0.6637500000000001
pandemic_MarJun2020,2020-04-16,0.6568750000000001
pandemic_MarJun2020,2020-04-17,0.825625
pandemic_MarJun2020,2020-04-18,0.7618750000000001
pandemic_MarJun2020,2020-04-19,0.83125
pandemic_MarJun2020,2020-04-20,0.925
pandemic_MarJun2020,2020-04-21,0.9125
pandemic_MarJun2020,2020-04-22,1.005625
pandemic_MarJun2020,2020-04-23,0.933125
pandemic_MarJun2020,2020-04-24,0.9606250000000001
pandemic_MarJun2020,2020-04-25,0.9737500000000001
pandemic_MarJun2020,2020-04-26,0.854375
pandemic_MarJun2020,2020-04-27,0.861875
pandemic_MarJun2020,2020-04-28,1.0225
pandemic_MarJun2020,2020-04-29,0.8643750000000001
pandemic_MarJun2020,2020-04-30,0.778125
pandemic_MarJun2020,2020-05-01,0.9375
pandemic_MarJun2020,2020-05-02,0.9712500000000001
pandemic_MarJun2020,2020-05-03,0.8818750000000001
pandemic_MarJun2020,2020-05-04,1.08875
pandemic_MarJun2020,2020-05-05,1.1687500000000002
pandemic_MarJun2020,2020-05-06,0.8293750000000001
pandemic_MarJun2020,2020-05-07,0.905
pandemic_MarJun2020,2020-05-08,1.069375
pandemic_MarJun2020,2020-05-09,0.953125
pandemic_MarJun2020,2020-05-10,0.9056250000000001
