station,pollutant,month,auc,mean,p50,p90,max_diario,valid_hours
NO2,CO,2020-01-01,1167.7350000000001,1.569536290322581,1.47,2.02,3.55,744.0
NO2,CO,2020-02-01,739.5925000000001,1.0626329022988508,0.715,2.035,16.93,696.0
NO2,CO,2020-03-01,602.625,0.8187839673913043,0.78,1.09,2.34,736.0
NO2,CO,2020-04-01,555.6025,0.7716701388888888,0.545,1.2210000000000003,5.05,720.0
NO2,CO,2020-05-01,303.44000000000005,0.4078494623655915,0.4,0.54,0.95,744.0
NO2,CO,2020-06-01,234.79000000000002,0.32609722222222226,0.3,0.4810000000000002,1.24,720.0
NO2,CO,2020-07-01,229.58999999999997,0.32939741750358675,0.3,0.47,0.79,697.0
NO2,CO,2024-01-01,1502.5500000000002,2.0195564516129036,1.85,2.72,7.53,744.0
NO2,CO,2024-02-01,1536.085,2.2070186781609196,2.08,2.665,7.17,696.0
NO2,CO,2024-03-01,1547.705,2.0802486559139783,2.0,2.41,4.3,744.0
NO2,CO,2024-04-01,1543.4299999999998,2.1436527777777776,2.11,2.4510000000000005,4.82,720.0
NO2,CO,2024-05-01,1957.4700000000003,2.6310080645161293,2.62,3.08,5.82,744.0
NO2,CO,2024-06-01,526.96,0.7318888888888889,0.7,0.96,1.56,720.0
NO2,CO,2024-07-01,614.815,0.882087517934003,0.87,1.12,2.09,697.0
NO2,CO,2025-01-01,1410.755,1.8961760752688173,1.78,2.44,4.94,744.0
NO2,CO,2025-02-01,1118.6100000000001,1.6645982142857145,1.91,2.58,4.49,672.0
NO2,CO,2025-03-01,531.375,0.7142137096774194,0.63,1.01,2.83,744.0
NO2,CO,2025-04-01,578.095,0.8029097222222222,0.77,1.0210000000000004,1.93,720.0
NO2,CO,2025-05-01,685.8499999999999,0.9218413978494623,0.875,1.17,2.91,744.0
NO2,CO,2025-06-01,366.65500000000003,0.7260495049504951,0.76,1.0760000000000003,1.96,505.0
SE,O3,2020-01-01,17104.0,23.55922865013774,22.0,44.0,90.0,726.0
SE,O3,2020-02-01,17039.0,24.765988372093023,21.0,51.0,97.0,688.0
SE,O3,2020-03-01,22645.5,30.4375,28.0,54.0,99.0,744.0
SE,O3,2020-04-01,25199.25,35.5419605077574,34.0,56.0,137.0,709.0
SE,O3,2020-05-01,27547.5,37.581855388813096,37.0,56.0,86.0,733.0
SE,O3,2020-06-01,20543.0,29.431232091690543,27.0,54.30000000000007,100.0,698.0
SE,O3,2020-07-01,17992.25,27.55321592649311,23.0,50.0,92.0,653.0
SE,O3,2024-01-01,15973.5,22.032413793103448,18.0,43.0,63.0,725.0
SE,O3,2024-02-01,19403.75,28.409590043923867,26.0,50.0,135.0,683.0
SE,O3,2024-03-01,25375.0,34.10618279569893,33.0,58.0,97.0,744.0
SE,O3,2024-04-01,25390.5,36.06605113636363,35.0,57.0,107.0,704.0
SE,O3,2024-05-01,30541.5,41.05040322580645,36.0,69.70000000000005,123.0,744.0
SE,O3,2024-06-01,19697.0,27.978693181818183,24.0,47.0,86.0,704.0
SE,O3,2024-07-01,16243.5,23.304878048780488,20.0,45.0,98.0,697.0
SE,O3,2025-01-01,15065.0,20.894590846047155,19.0,41.0,82.0,721.0
SE,O3,2025-02-01,16610.0,24.717261904761905,18.0,57.0,114.0,672.0
SE,O3,2025-03-01,23092.0,32.80113636363637,32.0,57.700000000000045,117.0,704.0
SE,O3,2025-04-01,26051.0,36.58848314606742,33.0,63.0,111.0,712.0
SE,O3,2025-05-01,26244.5,35.27486559139785,31.0,64.0,159.0,744.0
SE,O3,2025-06-01,18956.0,26.32777777777778,24.0,40.0,80.0,720.0
SO,NO,2020-01-01,371.5,0.4993279569892473,0.5,0.5,0.5,744.0
SO,NO,2020-02-01,355.5,0.5107758620689655,0.5,0.5,8.4,696.0
SO,NO,2020-03-01,371.5,0.4993279569892473,0.5,0.5,0.5,744.0
SO,NO,2020-04-01,694.3,0.9696927374301675,0.9,2.0,3.4,716.0
SO,NO,2020-05-01,1332.4499999999998,1.8714185393258425,0.95,5.15,8.4,712.0
SO,NO,2020-06-01,1004.5000000000001,1.6072000000000002,0.9,5.280000000000001,10.2,625.0
SO,NO,2020-07-01,631.95,1.694235924932976,0.6,6.080000000000001,58.1,373.0
SO,NO,2024-01-01,15757.3,28.75419708029197,11.649999999999999,80.42,362.7,548.0
SO,NO,2024-02-01,17961.75,25.807112068965516,10.649999999999999,67.9,268.6,696.0
SO,NO,2024-03-01,10704.3,14.3875,5.9,34.38000000000002,251.9,744.0
SO,NO,2024-04-01,5488.299999999999,7.622638888888888,4.0,14.6,104.8,720.0
SO,NO,2024-05-01,4171.25,5.606518817204301,3.2,9.6,79.4,744.0
SO,NO,2024-06-01,4736.15,6.577986111111111,4.074999999999999,12.21,89.7,720.0
SO,NO,2024-07-01,4260.775,6.113020086083213,3.8,12.139999999999997,56.3,697.0
SO,NO,2025-01-01,20974.1,28.19099462365591,10.75,75.56000000000003,315.8,744.0
