date,aqi,category,aqi_ma7
2024-02-07,73.0,Moderate,62.285714285714285
2024-02-08,90.0,Moderate,65.42857142857143
2024-02-09,88.0,Moderate,66.0
2024-02-10,93.0,Moderate,70.14285714285714
2024-02-11,75.0,Moderate,73.14285714285714
2024-02-12,43.0,Good,72.71428571428571
2024-02-13,51.0,Moderate,73.28571428571429
2024-02-14,68.0,Moderate,72.57142857142857
2024-02-15,95.0,Moderate,73.28571428571429
2024-02-16,63.0,Moderate,69.71428571428571
2024-02-17,38.0,Good,61.857142857142854
2024-02-18,62.0,Moderate,60.0
2024-02-19,119.0,USG,70.85714285714286
2024-02-20,95.0,Moderate,77.14285714285714
2024-02-21,87.0,Moderate,79.85714285714286
2024-02-22,71.0,Moderate,76.42857142857143
2024-02-23,66.0,Moderate,76.85714285714286
2024-02-24,64.0,Moderate,80.57142857142857
2024-02-25,150.0,USG,93.14285714285714
2024-02-26,202.0,Very Unhealthy,105.0
2024-02-27,100.0,Moderate,105.71428571428571
2024-02-28,99.0,Moderate,107.42857142857143
2024-02-29,91.0,Moderate,110.28571428571429
2024-03-01,84.0,Moderate,112.85714285714286
2024-03-02,118.0,USG,120.57142857142857
2024-03-03,126.0,USG,117.14285714285714
2024-03-04,87.0,Moderate,100.71428571428571
2024-03-05,108.0,USG,101.85714285714286
2024-03-06,91.0,Moderate,100.71428571428571
2024-03-07,118.0,USG,104.57142857142857
2024-03-08,85.0,Moderate,104.71428571428571
2024-03-09,48.0,Good,94.71428571428571
2024-03-10,43.0,Good,82.85714285714286
2024-03-11,55.0,Moderate,78.28571428571429
2024-03-12,84.0,Moderate,74.85714285714286
2024-03-13,108.0,USG,77.28571428571429
2024-03-14,75.0,Moderate,71.14285714285714
2024-03-15,87.0,Moderate,71.42857142857143
2024-03-16,67.0,Moderate,74.14285714285714
2024-03-17,55.0,Moderate,75.85714285714286
2024-03-18,28.0,Good,72.0
2024-03-19,50.0,Good,67.14285714285714
2024-03-20,59.0,Moderate,60.142857142857146
2024-03-21,84.0,Moderate,61.42857142857143
2024-03-22,70.0,Moderate,59.0
2024-03-23,58.0,Moderate,57.714285714285715
2024-03-24,84.0,Moderate,61.857142857142854
2024-03-25,71.0,Moderate,68.0
2024-03-26,67.0,Moderate,70.42857142857143
2024-03-27,104.0,USG,76.85714285714286
2024-03-28,67.0,Moderate,74.42857142857143
