station_code,pollutant,period,rows,missing_pct,n_gaps_short,n_gaps_med,n_gaps_long,max_gap_h,mean_gap_h,coverage,decision,method,coverage_bucket,safeguards,neighbors_hint
NO,CO,transition,8760.0,4.885844748858448,120.0,13.0,0.0,42.0,3.218045112781955,95.11415525114155,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NO,CO,current,21888.0,15.839729532163744,87.0,32.0,3.0,2536.0,28.418032786885245,84.16027046783626,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|CE
NO2,CO,pandemic,17544.0,2.462380300957592,79.0,5.0,1.0,265.0,5.08235294117647,97.5376196990424,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE2
NO2,CO,transition,8760.0,3.595890410958904,75.0,12.0,1.0,56.0,3.5795454545454546,96.4041095890411,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NO2,CO,current,21888.0,3.033625730994152,114.0,13.0,2.0,215.0,5.147286821705427,96.96637426900584,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|CE
SE,CO,pandemic,17544.0,8.407432740538075,124.0,37.0,3.0,432.0,8.99390243902439,91.59256725946192,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NO|CE|NE
SE,CO,transition,8760.0,1.0844748858447488,74.0,1.0,0.0,11.0,1.2666666666666666,98.91552511415526,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|CE
SE,CO,current,21888.0,13.692434210526317,73.0,16.0,12.0,1656.0,29.673267326732677,86.30756578947368,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE
SO,CO,pandemic,17544.0,28.904468764249884,106.0,33.0,6.0,3866.0,34.97241379310345,71.09553123575012,include_conservative,A+B,60–80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NO
SO,CO,transition,8760.0,11.6324200913242,78.0,4.0,2.0,786.0,12.13095238095238,88.3675799086758,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|CE
